### 	PROJECT 	COM_NAME 	GENOTYPE 	LINE/CULT 	LIB_NAME 	3LC 	LIB_TYPE 	RAW_READS 	PHRED_V 	GOOD_INSERT 	LENGTH 	ASSEMBLY 	PARAM 	#_of_ESTs 	CONTIGS 	SINGLETS 	UNIGENES 	UCO_N 	UCO_FR 	EST/UNI 	LENGTH 	COMMENTS 	DOWNLOAD_ESTs 	DOWNLOAD_ASSEMBLY 	DOWNLOAD_CLUST_INFO 	ATH_BLAST_INFO
000 	CGP1 	lettuce 	Lactuca sativa 	--- 	QG(ABCDI) 	QG# 	standard 	36759 	0.000925.c 	32873 	502 	XLS1_Contig# 	80-90 	32873 	4327 	8352 	12679 	151 	0.423 	2.59 	579 	completed 	CGP1_L_Sativa_ESTs__ABCDI_Q1.fasta 	CGP1_L_Sativa_ESTs__ABCDI_Q1.assembly 	CGP1_L_Sativa_ESTs__ABCDI_Q1.cluster 	CGP1_L_Sativa_ESTs__ABCDI_Q1.assembly.vs.Ath.BlastX.info1
001 	CGP1 	lettuce 	Lactuca serriola 	--- 	QG(EFGHJ) 	QG# 	standard 	39834 	0.000925.c 	35314 	551 	XLR1_Contig# 	80-90 	35314 	4773 	10284 	15057 	188 	0.527 	2.35 	624 	completed 	CGP1_L_Serriola_ESTs__EFGHJ_Q1.fasta 	CGP1_L_Serriola_ESTs__EFGHJ_Q1.assembly 	CGP1_L_Serriola_ESTs__EFGHJ_Q1.cluster 	CGP1_L_Serriola_ESTs__EFGHJ_Q1.assembly.vs.Ath.BlastX.info1
002 	CGP1 	sunflower 	Helianthus annuus 	RHA801 	QH(ABCDI) 	QH# 	standard 	31326 	0.000925.c 	22920 	426 	XHA1a_Contig# 	80-90 	22920 	2614 	6797 	9411 	70 	0.196 	2.44 	442 	completed 	CGP1_H_Annuus_ESTs__ABCDI_Q1.fasta 	CGP1_H_Annuus_ESTs__ABCDI_Q1.assembly 	CGP1_H_Annuus_ESTs__ABCDI_Q1.cluster 	CGP1_H_Annuus_ESTs__ABCDI_Q1.assembly.vs.Ath.BlastX.info1
003 	CGP1 	sunflower 	Helianthus annuus 	RHA280 	QH(EFGHJ) 	QH# 	standard 	33408 	0.000925.c 	21133 	399 	XHA1b_Contig# 	80-90 	21133 	2247 	5859 	8106 	66 	0.185 	2.61 	443 	completed 	CGP1_H_Annuus_ESTs__EFGHJ_Q1.fasta 	CGP1_H_Annuus_ESTs__EFGHJ_Q1.assembly 	CGP1_H_Annuus_ESTs__EFGHJ_Q1.cluster 	CGP1_H_Annuus_ESTs__EFGHJ_Q1.assembly.vs.Ath.BlastX.info1
004 	CGP1 	sunflower 	Helianthus paradoxus 	--- 	QH(KL) 	QH# 	standard / subtr 	14976 	0.000925.c 	10340 	401 	XHU1_Contig1# 	80-90 	10340 	1008 	4222 	5230 	46 	0.129 	1.98 	406 	completed 	CGP1_H_Paradoxus_ESTs__KL_Q1.fasta 	CGP1_H_Paradoxus_ESTs__KL_Q1.assembly 	CGP1_H_Paradoxus_ESTs__KL_Q1.cluster 	CGP1_H_Paradoxus_ESTs__KL_Q1.assembly.vs.Ath.BlastX.info1
005 	CGP1 	sunflower 	Helianthus argophyllus 	--- 	QH(MN) 	QH# 	standard / subtr 	17719 	0.000925.c 	12787 	385 	XHW1_Contig# 	80-90 	12787 	1107 	5048 	6155 	33 	0.092 	2.08 	406 	completed 	CGP1_H_Argophyllus_ESTs__MN_Q1.fasta 	CGP1_H_Argophyllus_ESTs__MN_Q1.assembly 	CGP1_H_Argophyllus_ESTs__MN_Q1.cluster 	CGP1_H_Argophyllus_ESTs__MN_Q1.assembly.vs.Ath.BlastX.info1
006 	CGP2 	lettuce 	Lactuca sativa 	--- 	CLS(XYZ) 	CLS 	standard 	21888 	0.000925.c 	21362 	713 	XLS2_Contig# 	80-90 	21362 	3592 	5609 	9201 	-1 	0.46 	2.32 	764 	completed 	CGP2_L_Sativa_ESTs_CLSXYZ_Q1.fasta 	CGP2_L_Sativa_ESTs_CLSXYZ_Q1.assembly 	CGP2_L_Sativa_ESTs_CLSXYZ_Q1.cluster 	CGP2_L_Sativa_ESTs_CLSXYZ_Q1.assembly.vs.Ath.BlastX.info1
007 	CGP2 	lettuce 	Lactuca sativa 	--- 	CLS(LMS) 	CLS 	norm 	27264 	0.000925.c 	25941 	816 	XLS3_Contig# 	80-90 	25941 	5317 	9225 	14542 	-1 	0.66 	1.78 	848 	completed 	CGP2_L_Sativa_ESTs_CLSLMS-beta_Q1.fasta 	CGP2_L_Sativa_ESTs_CLSLMS-beta_Q1.assembly 	CGP2_L_Sativa_ESTs_CLSLMS-beta_Q1.cluster 	CGP2_L_Sativa_ESTs_CLSLMS-beta_Q1.assembly.vs.Ath.BlastX.info1
008 	CGP2 	lettuce 	Lactuca serriola 	--- 	CLR(XYZ) 	CLR 	standard 	20736 	0.000925.c 	20176 	729 	XLR2_Contig# 	80-90 	20176 	3320 	5450 	8770 	-1 	0.44 	2.3 	776 	completed 	CGP2_L_Serriola_ESTs_CLRXYZ_Q1.fasta 	CGP2_L_Serriola_ESTs_CLRXYZ_Q1.assembly 	CGP2_L_Serriola_ESTs_CLRXYZ_Q1.cluster 	CGP2_L_Serriola_ESTs_CLRXYZ_Q1.assembly.vs.Ath.BlastX.info1
009 	CGP2 	lettuce 	Lactuca saligna 	--- 	CLL(XYZ) 	CLL 	standard 	31488 	0.000925.c 	30696 	729 	XLL2_Contig# 	80-90 	30696 	5225 	6310 	11535 	-1 	0.54 	2.66 	772 	completed 	CGP2_L_Saligna_ESTs_CLLXYZ_Q1.fasta 	CGP2_L_Saligna_ESTs_CLLXYZ_Q1.assembly 	CGP2_L_Saligna_ESTs_CLLXYZ_Q1.cluster 	CGP2_L_Saligna_ESTs_CLLXYZ_Q1.assembly.vs.Ath.BlastX.info1
010 	CGP2 	lettuce 	Lactuca virosa 	--- 	CLV(XYZ) 	CLV 	standard 	31104 	0.000925.c 	30068 	702 	XLV2_Contig# 	80-90 	30068 	5184 	7005 	12189 	-1 	0.47 	2.47 	744 	completed 	CGP2_L_Virosa_ESTs_CLVXYZ_Q1.fasta 	CGP2_L_Virosa_ESTs_CLVXYZ_Q1.assembly 	CGP2_L_Virosa_ESTs_CLVXYZ_Q1.cluster 	CGP2_L_Virosa_ESTs_CLVXYZ_Q1.assembly.vs.Ath.BlastX.info1
