name	genus	species	subspecies	type	population	tissue	sampled_age	pop_collect_date	collector		locality	plant_grower_tissue_collector	longitude	latitude	library_type	library_prep	library_who	library_number	restriction_enzyme	read_tech	sequence_format	quality_format	date_sequenced	sequencing_facility	read_length	barcodes	barcode_type_position	mate_pair_library	current_known_location	who_received_sequences	notes	known_alias	associated publication	sample_numbering	submitted_to_SRA
CAN	helianthus	annuus		invasive							california		-119	36	cDNA					454	fna	qual							cluster:/Linux/Loren/Seq/EST				1	70	Y
EUW1	helianthus	annuus		invasive							europe				cDNA					454	fna	qual		Genome Quebec					cluster:/Linux/Loren/Seq/EST				1	71	Y
EUW2	helianthus	annuus		invasive							europe				cDNA					454	fna	qual		Genome Quebec					cluster:/Linux/Loren/Seq/EST				1	72	Y
ISI	helianthus	annuus		invasive							israel				cDNA					454	fna	qual		Genome Quebec					cluster:/Linux/Loren/Seq/EST				1	73	Y
QLD	helianthus	annuus		invasive							australia				cDNA					454	fna	qual		Genome Quebec					cluster:/Linux/Loren/Seq/EST		PI 435505		1	74	Y
SAW3	helianthus	annuus		invasive							australia		-33.29	137.47	cDNA					illumina	fq	fastq		IU	2 x 100				cluster:/Linux/Loren/Seq/EST				1	76	Y
WAN	helianthus	annuus		invasive							australia				cDNA					454	fna	qual		Genome Quebec					cluster:/Linux/Loren/Seq/EST				1	75	Y
Ames449	helianthus	argophyllus	NA	invasive	PI 664801	leaves	adult	October 2009	USDA (BTM)		Australia	Brook Moyers	150.825	-23.239	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"	"Marine Road, Emu Park."	Ames 30449 / QLD-09	1	64	Y
Moz291	helianthus	argophyllus	NA	invasive	PI 490291	leaves	adult	July 1984	USDA (BTM)		Mozambique	Brook Moyers	NA	NA	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"	Introduced to southeastern Africa by Portuguese settlers. Leaves are similar to H. annuus. Pubescence reduced. Bad sequence? Not ncluded in 168 sample SNP table.	NA		65	
Ames695	helianthus	argophyllus	NA	invasive	PI 664730	leaves	adult	October 2008	USDA (BTM)		North Carolina	Brook Moyers	77.999166	33.876389	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST	"Nolan Kane, Chris Grassa"	"In the vicinity of a semi-permanent large reception tent, from Keelson Row, between marina and Bald Head Creek, Brunswick County."	Ames 29695 / ARG-2624	1	66	Y
ARL	helianthus	annuus		landrace	PI369357										cDNA normalized		zhao lai			illumina	fq	fastq	2011	DHMRI	2 x 100				cluster:/Linux/Loren/Seq/EST					79	
HA	helianthus	annuus		landrace	pi19070										cDNA normalized		zhao lai			illumina	fq	fastq	2011	dhmri	2 x 100				cluster:/Linux/Loren/Seq/EST					80	
HAL	helianthus	annuus		landrace	pi369358										cDNA normalized		zhao lai			illumina	fq	fastq	2011	dhmri	2 x 100				cluster:/Linux/Loren/Seq/EST					81	
HAW59	helianthus	annuus		landrace											cDNA normalized		zhao lai			illumina	fq	fastq	2011	dhmri	2 x 100				cluster:/Linux/Loren/Seq/EST					82	
HIL	helianthus	annuus		landrace	pi600721										cDNA normalized		zhao lai			illumina	fq	fastq			2 x 100				cluster:/Linux/Loren/Seq/EST					83	
HODL	helianthus	annuus		landrace											cDNA					454	fna	qual							cluster:/Linux/Loren/Seq/EST					77	
HOPL	helianthus	annuus		landrace	pi369359										cDNA normalized		zhao lai			illumina	fq	fastq	2011	dhmri	2 x 100				cluster:/Linux/Loren/Seq/EST					84	
MAL	helianthus	annuus		landrace	PI600717										cDNA normalized		zhao lai			illumina	fq	fastq	2011	dhmri	2 x 100				cluster:/Linux/Loren/Seq/EST					85	
MEL	helianthus	annuus		landrace											cDNA					illumina	fq	fastq		Genome Quebec	2 x 100				cluster:/Linux/Loren/Seq/EST					86	
SEL	helianthus	annuus		landrace											cDNA					454	fna	qual							cluster:/Linux/Loren/Seq/EST					78	
ZUL	helianthus	annuus		landrace	pi432515										cDNA normalized		zhao lai			illumina	fq	fastq	2011	dhmri	2 x 100				cluster:/Linux/Loren/Seq/EST					88	
TEX	helianthus	annuus	texanus	texanus							texas		-99.14	31.58	cDNA normalized					illumina	fq	fastq	2011	dhmri	2 x 100				cluster:/Linux/Loren/Seq/EST				1	91	Y
CAW	helianthus	annuus		weedy							california		-119	36	cDNA					454	fna	qual		Genome Quebec					cluster:/Linux/Loren/Seq/EST				1	92	Y
INW	helianthus	annuus		weedy							indiana		-86.15	40.23	cDNA					454	fna	qual							cluster:/Linux/Loren/Seq/EST				1	93	Y
KAW	helianthus	annuus		weedy							kansas		-98.6	38.34	cDNA					454	fna	qual		Genome Quebec					cluster:/Linux/Loren/Seq/EST				1	94	Y
UTW	helianthus	annuus		weedy							utah		-111.71	39.3	cDNA					454	fna	qual		Genome Quebec					cluster:/Linux/Loren/Seq/EST				1	95	Y
Canal2	helianthus	annuus	annuus	weedy/invasive	Canal	leaves/stem	seedling	August 2010	Brook Moyers		California	Brook Moyers	-119.4075	36.715	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST/annuus/weedy/illumina	"Nolan Kane, Chris Grassa"	"On CA 180 east of Fresno, 1 minute after crossing irrigation canal; weedy in plowed field with red soil"		1	18	Y
Canal5	helianthus	annuus	annuus	weedy/invasive	Canal	leaves/stem	seedling	August 2010	Brook Moyers		California	Brook Moyers	-119.4075	36.715	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST/annuus/weedy/illumina	"Nolan Kane, Chris Grassa"	"On CA 180 east of Fresno, 1 minute after crossing irrigation canal; weedy in plowed field with red soil"		1	19	Y
Manteca4	helianthus	annuus	annuus	weedy/invasive	Manteca	leaves/stem	seedling	August 2010	Brook Moyers		California	Brook Moyers	-121.23389	37.78139	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST/annuus/weedy/illumina	"Nolan Kane, Chris Grassa"	"Off CA 120 in Manteca (S. Union Rd. exit), weedy next to corn? field; some H. petiolaris in field"		1	20	Y
Manteca8	helianthus	annuus	annuus	weedy/invasive	Manteca	leaves/stem	seedling	August 2010	Brook Moyers		California	Brook Moyers	-121.23389	37.78139	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST/annuus/weedy/illumina	"Nolan Kane, Chris Grassa"	"Off CA 120 in Manteca (S. Union Rd. exit), weedy next to corn? field; some H. petiolaris in field"		1	21	Y
arg14B-14	helianthus	annuus	texanus	wild	Arg 14	leaves/stem	seedling	October 2009	Brook Moyers		Texas	Brook Moyers	-97.38758	28.69902	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST/texanus/illumina	"Nolan Kane, Chris Grassa"	collected at Sophie's Arg 14		"1,2"	28	Y
Academy7	helianthus	annuus	annuus	weedy/invasive	Academy	leaves/stem	seedling	August 2010	Brook Moyers		California	Brook Moyers	-119.56056	36.73556	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST/annuus/wild/illumina	"Nolan Kane, Chris Grassa"	"Just west of intersection with Academy Ave. on CA 180 east of Fresno, weedy next to citrus plantation"		1	16	Y
Academy2	helianthus	annuus	annuus	weedy/invasive	Academy	leaves/stem	seedling	August 2010	Brook Moyers		California	Brook Moyers	-119.56056	36.73556	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST/annuus/wild/illumina	"Nolan Kane, Chris Grassa"	"Just west of intersection with Academy Ave. on CA 180 east of Fresno, weedy next to citrus plantation"		1	17	Y
btm3-2	helianthus	annuus	texanus	wild	btm003	leaves/stem	seedling	October 2009	Brook Moyers		Texas	Brook Moyers	-98.26807	27.54784	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST/texanus/illumina	"Nolan Kane, Chris Grassa"			"1,2"	29	Y
btm6-1	helianthus	annuus	texanus	wild	btm006	leaves/stem	seedling	October 2009	Brook Moyers		Texas	Brook Moyers	-98.05155	27.22711	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST/texanus/illumina	"Nolan Kane, Chris Grassa"			"1,2"	30	Y
btm11-1	helianthus	annuus	texanus	wild	btm011	leaves/stem	seedling	October 2009	Brook Moyers		Texas	Brook Moyers	-97.07954	27.98979	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST/texanus/illumina	"Nolan Kane, Chris Grassa"			"1,2"	31	Y
btm35-4	helianthus	annuus	texanus	wild	btm035	leaves/stem	seedling	October 2009	Brook Moyers		Texas	Brook Moyers	-97.95792	29.53182	cDNA non normalized	illumina kit				illumina	fq	fastq (Phred+33)	spring 2011	GSC	100 X 2			NO	cluster:/Linux/Loren/Seq/EST/texanus/illumina	"Nolan Kane, Chris Grassa"			"1,2"	32	Y
