name	common_name	genus	species	subspecies	type	population	tissue	sampled_age	pop_collect_date	collector	locality	plant_grower_tissue_collector		latitude	library_type	library_prep	library_who	library_number	restriction_enzyme	read_tech	sequence_format	quality_format	date_sequenced	sequencing_facility	read_length_mode	total_sequence_Mbp	barcodes	barcode_type_position	mate_pair_library	current_known_location	file_name	who_received_sequences	notes	known_alias	submitted_to_SRA
HU1	common ragweed	Ambrosia	artemisiifolia	NA	introduced	HU1	leaf	adult/preflowering	Fall 2009	Levante Kiss	"Biatorbagy, Hungary"	Kay Hodgins		"Lat 47.46, Long 18.81"	"cDNA normalized, single stranded"	standard library	Kay Hodgins/GQ		no	454	fasta	qual	"2009-11-03,  2010-07-14"	GQ		38			no	silio: /data/raid5part1/weeds/Raw/	"HU1a.fna, HU1b.fna, HU1a.qual, HU1b.qual"	Kay Hodgins			
AA8	common ragweed	Ambrosia	artemisiifolia	NA	native	AA8	leaf	adult/preflowering	Fall 2009	Kay Hodgins	"Russell, MN, USA"	Kay Hodgins		"Lat 44.19, Long -95.57"	"cDNA normalized, single stranded"	standard library	Kay Hodgins/GQ		no	454	fasta	qual	"2009-11-03,  2010-07-16"	GQ		33			no	silio: /data/raid5part1/weeds/Raw	"AA8a.fna, AA8b.fna, AA8a.qual, AA8b.qual"	Kay Hodgins			
CA-1-1	yellow starthistle	Centaurea	solstitialis	NA	introduced	CA-1					California	Katrina Dlugosch							no	454-FLX					259	17.2			no	Katrina		Katrina Dlugosch			
CA-1-2	yellow starthistle	Centaurea	solstitialis	NA	introduced	CA-1					California	Katrina Dlugosch							no	454-FLX					256	25.1			no			Katrina Dlugosch			
CA-2-2	yellow starthistle	Centaurea	solstitialis	NA	introduced	CA-2					California	Katrina Dlugosch							no	454-FLX					256	20.1			no			Katrina Dlugosch			
CA-2-4	yellow starthistle	Centaurea	solstitialis	NA	introduced	CA-2					California	Katrina Dlugosch							no	454-FLX					257	19.9			no			Katrina Dlugosch			
CA-3-1	yellow starthistle	Centaurea	solstitialis	NA	introduced	CA-3					California	Katrina Dlugosch							no	454-FLX					260	58			no			Katrina Dlugosch			
CA-3-2	yellow starthistle	Centaurea	solstitialis	NA	introduced	CA-3					California	Katrina Dlugosch							no	454-FLX					259	58.1			no			Katrina Dlugosch			
CA-4-1	yellow starthistle	Centaurea	solstitialis	NA	introduced	CA-4					California	Katrina Dlugosch							no	454-FLX					259	80.1			no			Katrina Dlugosch			
CA-4-3	yellow starthistle	Centaurea	solstitialis	NA	introduced	CA-4					California	Katrina Dlugosch							no	454-FLX					259	20			no			Katrina Dlugosch			
CA-4-4	yellow starthistle	Centaurea	solstitialis	NA	introduced	CA-4					California	Katrina Dlugosch							no	454-Ti			"2010-07-14, 2009-08-27"	GQ	421	206.3			no			Katrina Dlugosch			
CA-5-3	yellow starthistle	Centaurea	solstitialis	NA	introduced	CA-5					California	Katrina Dlugosch							no	454-FLX					257	80.2			no			Katrina Dlugosch			
CA-5-4	yellow starthistle	Centaurea	solstitialis	NA	introduced	CA-5					California	Katrina Dlugosch							no	454-FLX					263	21.1			no			Katrina Dlugosch			
AR-1-24	yellow starthistle	Centaurea	solstitialis	NA	introduced	AR-1	leaf				Argentina	Katrina Dlugosch		"Lat -37.39, Long -64.08"	"Normalized, double-stranded"				no	454-Ti			12/1/2009		499	234.7			no			Katrina Dlugosch	region 1	Z1	
AR-1-25C	yellow starthistle	Centaurea	solstitialis	NA	introduced	AR-1					Argentina	Katrina Dlugosch							no	454-Ti			"2010-07-16, 2009-07-08"	GQ	506	153.7			no			Katrina Dlugosch			
AR-6-13	yellow starthistle	Centaurea	solstitialis	NA	introduced	AR-6					Argentina	Katrina Dlugosch							no	454-Ti			12/1/2009		507	256.4			no			Katrina Dlugosch	region 1		
AR-6-26	yellow starthistle	Centaurea	solstitialis	NA	introduced	AR-6					Argentina	Katrina Dlugosch							no	454-Ti			9/1/2009	GQ	419	181.7			no			Katrina Dlugosch			
