bind,GENUS,SPECIES,USDA,GrowthHabit,StateList,ProvList,NStates,NProv,EU,Arg,SA,dist,distbin,AccSpeciesID,AccSpeciesName,IPNI.TROPICOS,Genus,SpeciesEpithet,Family,PhylogeneticGroup,PlantGrowthForm,Succulent,climber,Parasitic,Aquatic,Epiphyte,Crop,Palmoid,LeafType,LeafPhenology,PhotosyntheticPathway,Woodiness,WoodinessDetail,LeafCompoundness,NumberOfLeaflets,SucculentSource,ClimbingSource,ParasiticSource,AquaticSource,EpiphyticSource,CropSource,PalmoidSource,PlantGrowthFormAttributesSource,LeafTypeSource,LeafPhenSource,PhotoSource,FryxellModeOfRepro,FryxellNote,Reproduction,HRResistant_Kuester,NAIntro_Kuester,weed_Kuester,cvalue_Kuester,KuesterNote,Duration_Kuester,GrowthRate_Kuester,Lifespan_Kuester,HighCaCO_Kuester,CaCO_Kuester,HighSalt_Kuester,Salt_Kuester,Shade_Kuester,FrAbund_Kuester,FrPers_Kuester,SeedSprRate_Kuester,SeedVig_Kuester,VegSpread_Kuester,IntroductionData_Kuester,HaploidN_Rogers,SeedHair_Rogers,FT_Rogers,Cultivated_Rogers
Acicarpha spathulata,Acicarpha,spathulata,http://plants.usda.gov/core/profile?symbol=,NA,NA,NA,0,0,0,0,0,#NAME?,LOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia artemisiifolia,Ambrosia,artemisiifolia,http://plants.usda.gov/core/profile?symbol=AMAR2,Forb/herb,"AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY","AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK",49,11,13,0,0,1.813444527,LOW,3157,Ambrosia artemisiifolia,x,Ambrosia,artemisiifolia,Asteraceae,Angiosperm_Eudicotyl,herb,,,,,,,,broadleaved,,C3,non-woody,,simple,,,,,,,,,,x,TRY,TRY,,,,Y,N,Y,4538,,,,,,,,,,,,,,,,,,,
Ambrosia trifida,Ambrosia,trifida,http://plants.usda.gov/core/profile?symbol=AMTR,Forb/herb,"AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY","AB, MB, NB, NS, ON, PE, QC, SK",47,8,6,0,0,1.446364053,LOW,3170,Ambrosia trifida,x,Ambrosia,trifida,Asteraceae,Angiosperm_Eudicotyl,herb,,,,,,,,broadleaved,,C3,non-woody,,simple,,,,,,,,,,x,,s,,,,Y,N,Y,7472,,,,,,,,,,,,,,,,,,,
Carthamus oxyacanthus,Carthamus,oxyacanthus,http://plants.usda.gov/core/profile?symbol=CAOX2,Forb/herb,CA,,1,0,0,0,0,-2.958129299,LOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,,outcrossing,,,,,,,,,,,,,,,,,,,,,,,
Carthamus palaestinus,Carthamus,palastinus,http://plants.usda.gov/core/profile?symbol=,NA,NA,NA,0,0,0,0,0,#NAME?,LOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Carthamus tinctorius,Carthamus,tinctorius,http://plants.usda.gov/core/profile?symbol=CATI,Forb/herb,"AZ, IA, IL, KS, MA, MT, NE, OH, OR, TX, UT, WY","AB, BC",12,2,3,0,0,0.352736282,LOW,10816,Carthamus tinctorius,x,Carthamus,tinctorius,Asteraceae,Angiosperm_Eudicotyl,herb,,,,,,,,broadleaved,,C3,non-woody,,simple,,,,,,,,,,x,,s,B,,outcrossing and selfing,N,I,N,5457,,,,,,,,,,,,,,,,,,,
Centaurea diffusa,Centaurea,diffusa,http://plants.usda.gov/core/profile?symbol=CEDI3,Forb/herb,"AZ, CA, CO, IA, ID, IN, KY, MA, MI, MO, NE, NJ, NM, NV, OH, OR, TN, UT, WA, WI, WY","AB, BC, ON, QC, SK, YT",21,6,2,3,0,0.623700061,LOW,11571,Centaurea diffusa,x,Centaurea,diffusa,Asteraceae,Angiosperm_Eudicotyl,herb,,,,,,,,broadleaved,,C3,non-woody,,simple,,,,,,,,,,x,TRY,TRY,,"G' for cyanus, 'A' for jacea",,N,I,Y,3521,,,,,,,,,,,,,,,,,,,
Centaurea maculosa,Centaurea,maculosa,http://plants.usda.gov/core/profile?symbol=CEMA4,Forb/herb,"AR, AZ, CA, CO, CT, DE, HI, IA, ID, IL, IN, KS, KY, LA, MD, ME, MI, MN, MO, MT, NC, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SC, SD, TN, UT, VA, VT, WA, WI, WV, WY","AB, BC, NB, NS, ON, QC, YT",41,7,5,0,0,1.295325998,LOW,11590,Centaurea maculosa,x,Centaurea,maculosa,Asteraceae,Angiosperm_Eudicotyl,herb,,,,,,,,broadleaved,,C3,non-woody,,simple,,,,,,,,,,x,,s,,"G' for cyanus, 'A' for jacea",,N,I,Y,6142,cvalue 3454 for diploid (not our sample),,,,,,,,,,,,,,1936,,,,
Centaurea solstitialis,Centaurea,solstitialis,http://plants.usda.gov/core/profile?symbol=CESO3,Forb/herb,"AZ, CA, FL, IA, ID, IN, KS, KY, MD, MI, MN, MO, MT, NC, ND, NE, NJ, NM, NV, NY, OH, OK, OR, RI, SD, TN, TX, UT, VA, WA, WI, WV, WY","AB, MB, ON, SK",33,4,3,11,0,0.962037253,LOW,11620,Centaurea solstitialis,x,Centaurea,solstitialis,Asteraceae,Angiosperm_Eudicotyl,herb,,,,,,,,broadleaved,,C3,non-woody,,simple,,,,,,,,,,x,TRY,s,,"G' for cyanus, 'A' for jacea",,,,,,,,,,,,,,,,,,,,,,,,
Cichorium endivia,Cichorium,endivia,http://plants.usda.gov/core/profile?symbol=CIEN,Forb/herb,"CA, CT, MI, OR, PA, WA",,6,0,6,0,0,0.532838082,LOW,12916,Cichorium endivia,x,Cichorium,endivia,Asteraceae,Angiosperm_Eudicotyl,herb,,,,,,,,broadleaved,,C3,non-woody,,simple,,,,,,,,,,x,,TRY,B,,outcrossing and selfing,,,,,,,,,,,,,,,,,,,,,,,
Cichorium intybus,Cichorium,intybus,http://plants.usda.gov/core/profile?symbol=CIIN,Forb/herb,"AL, AR, AZ, CA, CO, CT, DC, FL, GA, IA, ID, IL, IN, KS, KY, LA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, SK","AB, BC, LB, MB, NB, NF, NS, ON, PE, QC, SK",47,11,16,9,0,1.905658234,LOW,12917,Cichorium intybus,x,Cichorium,intybus,Asteraceae,Angiosperm_Eudicotyl,herb,,,,,,,,broadleaved,,C3,non-woody,,simple,,,,,,,,,,x,TRY,TRY,A,,outcrossing,,I,Y,,,0,1,1,1,1,0,0,0,0,0,1,1,0 ,,,,,
Cirsium arvense,Cirsium,arvense,http://plants.usda.gov/core/profile?symbol=CIAR4,Forb/herb,"AL, AR, AZ, CA, CO, CT, DC, DE, IA, ID, IL, IN, KS, KY, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, GL","AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT",41,12,19,2,0,1.968563736,LOW,13016,Cirsium arvense,x,Cirsium,arvense,Asteraceae,Angiosperm_Eudicotyl,herb,,,,,,,,broadleaved,,C3,non-woody,,simple,,,,,,,,,,x,TRY,TRY,,,,N,I,Y,5555,addnl cvalue 6064,,,,,,,,,,,,,,,,,,
Cnicothamnus lorentzii,Cnicothamnus,lorentzii,http://plants.usda.gov/core/profile?symbol=,NA,NA,NA,0,0,0,3,0,#NAME?,LOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Cynara cardunculus,Cynara,cardunculus,http://plants.usda.gov/core/profile?symbol=CYCA,Forb/herb,"CA, OR, WA",,3,0,5,6,0,0.274573148,LOW,16267,Cynara cardunculus,x,Cynara,cardunculus,Asteraceae,Angiosperm_Eudicotyl,herb,,,,,,,,broadleaved,,C3,non-woody,,simple,,,,,,,,,,,,TRY,,,,,,,,,,,,,,,,,,,,,,,,,,
Dahlia hybrida,Dahlia,hybrida,http://plants.usda.gov/core/profile?symbol=,NA,NA,NA,0,0,0,0,0,#NAME?,LOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,Self-incompatible (sp = pinnata?),outcrossing,,,,,,,,,,,,,,,,,,,,,,,
Echinacea angustifolia,Echinacea,angustifolia,http://plants.usda.gov/core/profile?symbol=ECAN2,Forb/herb,"CO, DC, IA, KS, LA, MN, MO, MT, ND, NE, NM, OK, SD, TX, WY","MB, SK",15,2,0,0,0,-0.124915955,LOW,19705,Echinacea angustifolia,x,Echinacea,angustifolia,Asteraceae,Angiosperm_Eudicotyl,herb,,,,,,,,broadleaved,,C3,non-woody,,simple,,,,,,,,,,x,,TRY,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerbera hybrid,Gerbera,hybrid,http://plants.usda.gov/core/profile?symbol=,NA,NA,NA,0,0,0,0,0,#NAME?,LOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Glebionis segetum,Glebionis,segetum,http://plants.usda.gov/core/profile?symbol=GLSE5,Forb/herb,"AL, CA, FL, LA, MD, NC, OH, OR, PA, VA","NB, NS, ON, PE, QC",10,5,0,0,0,-0.250079098,LOW,26335,Glebionis segetum,x,Glebionis,segetum,,,,,,,,,,,,,C3,,,,,,,,,,,,,,,sa,,,,,,,,,,,,,,,,,,,,,,,,,,
Guizotia scabra,Guizotia,scabra,http://plants.usda.gov/core/profile?symbol=,NA,NA,NA,0,0,0,0,0,#NAME?,LOW,27247,Guizotia scabra,x,Guizotia,scabra,Asteraceae,Angiosperm_Eudicotyl,,,,,,,,,broadleaved,,,,,,,,,,,,,,,,,,,A' type for G. abyssinica,,,,,,,,,,,,,,,,,,,,,,,,
Helianthus annuus,Helianthus,annuus,http://plants.usda.gov/core/profile?symbol=HEAN3,Forb/herb,"AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV, SK","AB, BC, MB, NB, NS, NT, ON, PE, QC, SK",49,10,6,3,0,1.494095742,LOW,28128,Helianthus annuus,x,Helianthus,annuus,Asteraceae,Angiosperm_Eudicotyl,herb,,,,,,crop,,broadleaved,,C3,non-woody,,simple,,,,,,,x,,,x,TRY,s,A or B,17 - 62% natural crossing. Some self incompatibility,mostly outcrossing,Y,N,Y,13393,mean of 17 cvalues ranging from 6944 - 19364,1,1,,0,1,0,1,0,1,1,0,0,0 ,,17,N,July - Oct,
Helianthus argophyllus,Helianthus,argophyllus,http://plants.usda.gov/core/profile?symbol=HEAR3,Forb/herb,"NC, TX",,2,0,0,0,0,-2.264982118,LOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,N,N,N,17311,,,,,,,,,,,,,,,,,,,
Helianthus ciliaris,Helianthus,ciliaris,http://plants.usda.gov/core/profile?symbol=HECI,Forb/herb,"AZ, CA, CO, IL, KS, NE, NM, NV, OK, TX, UT, WA",,12,0,0,0,0,-0.473222649,LOW,28131,Helianthus ciliaris,x,Helianthus,ciliaris,Asteraceae,Angiosperm_Eudicotyl,herb,,,,,,,,broadleaved,,,non-woody,,simple,,,,,,,,,,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helianthus exilis,Helianthus,exilis,http://plants.usda.gov/core/profile?symbol=HEEX,Forb/herb,"CA, OR",,2,0,0,0,0,-2.264982118,LOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,
Helianthus paradoxus,Helianthus,paradoxus,http://plants.usda.gov/core/profile?symbol=HEPA2,Forb/herb,"NM, TX",,2,0,0,0,0,-2.264982118,LOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,N,N,N,20929,addnl cvalue 21418,,,,,,,,,,,,,,,,,,
Helianthus petiolaris,Helianthus,petiolaris,http://plants.usda.gov/core/profile?symbol=HEPE,Forb/herb,"AR, AZ, CA, CO, CT, IA, ID, IL, IN, KS, LA, MA, ME, MI, MN, MO, MT, NC, ND, NE, NJ, NM, NV, NY, OH, OK, OR, RI, SC, SD, TN, TX, UT, VT, WA, WI, WV, WY","AB, MB, ON, SK",38,4,1,3,0,0.880669322,LOW,28149,Helianthus petiolaris,x,Helianthus,petiolaris,Asteraceae,Angiosperm_Eudicotyl,herb,,,,,,,,broadleaved,,C3,non-woody,,simple,,,,,,,,,,,,TRY,,,,N,N,Y,13565,mean of 4 cvalues ranging from 13301 - 14181,,,,,,,,,,,,,,,,,,
