USinv	family
1	Abutilon theophrasti	Malvaceae
2	Acacia mearnsii	Fabaceae
3	Acacia paradoxa	Fabaceae
4	Acaena novae-zelandiae	Rosaceae
5	Acaena novae-zelandica	NA
6	Acaena pallida	Rosaceae
7	Acer ginnala	Aceraceae
8	Acer platanoides	Aceraceae
9	Acer pseudoplatanus	Aceraceae
10	Achnatherum brachychaetum	NA
612	Solanum rostratum	Solanaceae
11	Stipa brachychaeta	NA
127	Centaurea melitensis	Asteraceae
12	Acroptilon repens	Asteraceae
13	Centaurea repens	Asteraceae
14	Aegilops cylindrica	Poaceae
15	Aegilops geniculata	Poaceae
16	Aegilops ovata	Poaceae
17	Aegilops triuncialis	Poaceae
18	Aeginetia L.	Orobanchaceae
19	Aegopodium podagraria	Apiaceae
20	Aeschynomene indica	Fabaceae
21	Aeschynomene rudis	Fabaceae
22	Aeschynomene virginica	Fabaceae
24	Ageratina riparia	Asteraceae
25	Agrostemma githago	Caryophyllaceae
26	Ailanthus altissima	Simaroubaceae
28	Alhagi maurorum	Fabaceae
27	Alectra Thunb.	NA
29	Alhagi camelorum	Fabaceae
30	Alhagi pseudalhagi	Fabaceae
31	Alliaria petiolata	Brassicaceae
32	Allium L.	Amaryllidaceae
402	Myrica faya	Myricaceae
33	Allium neapolitanum	Amaryllidaceae
34	Nothoscordum inodorum	Amaryllidaceae
35	Allium paniculatum	Amaryllidaceae
36	Allium vineale	Amaryllidaceae
38	Alopecurus myosuroides	Poaceae
39	Alternanthera Forssk.	Amaranthaceae
40	Alternanthera philoxeroides	Amaranthaceae
41	Alternanthera sessilis	Amaranthaceae
42	Alyssum corsicum	Brassicaceae
43	Alyssum murale	Brassicaceae
44	Ambrosia artemisiifolia	Asteraceae
238	Euphorbia prunifolia	NA
46	Ambrosia elatior	Asteraceae
47	Ambrosia grayi	Asteraceae
48	Ambrosia tomentosa	Asteraceae
49	Franseria discolor	NA
50	Ambrosia trifida	Asteraceae
51	Amorpha fruticosa	Fabaceae
52	Ampelopsis brevipedunculata	Vitaceae
53	Anchusa arvensis	Boraginaceae
54	Anchusa officinalis	Boraginaceae
55	Andropogon bicornis	Poaceae
56	Andropogon virginicus	Poaceae
57	Anoda cristata	Malvaceae
58	Anredera cordifolia	Basellaceae
59	Anthemis arvensis	Asteraceae
60	Anthemis cotula	Asteraceae
61	Anthriscus sylvestris	Apiaceae
62	Araujia sericifera	Apocynaceae
63	Arctium minus	Asteraceae
64	Arctotheca calendula	Asteraceae
65	Ardisia elliptica	Primulaceae
66	Artemisia absinthium	Asteraceae
67	Arthraxon hispidus	Poaceae
309	Calonyction muricatum	NA
68	Arundo donax	Poaceae
69	Asphodelus fistulosus	Xanthorrhoeaceae
70	Avena sterilis	Poaceae
71	Azolla pinnata	Azollaceae
72	Bassia scoparia	Amaranthaceae
74	Berberis L.2	NA
77	Berteroa incana	Brassicaceae
79	Brachypodium sylvaticum	Poaceae
78	Bocconia frutescens	Papaveraceae
80	Brassica L.	NA
81	Bromus racemosus	Poaceae
82	Bromus commutatus	Poaceae
83	Bromus secalinus	Poaceae
84	Bromus tectorum	Poaceae
85	Bryonia alba	Cucurbitaceae
86	Buddleja davidii	Scrophulariaceae
88	Cabomba caroliniana	Cabombaceae
160	Clematis vitalba	Ranunculaceae
89	Callitriche stagnalis	Plantaginaceae
90	Calystegia sepium	Convolvulaceae
92	Convolvulus sepium	Convolvulaceae
93	Cannabis sativa	Cannabaceae
316	Lactuca tatarica	Asteraceae
94	Cardamine impatiens	Brassicaceae
95	Cardaria chalepensis	Brassicaceae
98	Lepidium draba	Brassicaceae
96	Cardaria chalapensis	NA
97	Cardaria draba	Brassicaceae
99	Cardaria pubescens	Brassicaceae
100	Cardiospermum halicacabum	Sapindaceae
101	Carduus L.	Asteraceae
102	Carduus acanthoides	Asteraceae
104	Carduus nutans	Asteraceae
103	Carduus crispus	Asteraceae
105	Carduus pycnocephalus	Asteraceae
107	Carex kobomugi	Cyperaceae
106	Carduus tenuiflorus	Asteraceae
108	Carthamus lanatus	Asteraceae
110	Carthamus baeticus	Asteraceae
111	Carthamus leucocaulos	Asteraceae
112	Carthamus oxyacanthus	Asteraceae
114	Carum carvi	Apiaceae
115	Casuarina Rumph.	NA
113	Carthamus oxyacantha	Asteraceae
117	Celastrus orbiculatus	Celastraceae
118	Cenchrus echinatus	Poaceae
119	Cenchrus longispinus	Poaceae
120	Cenchrus spinifex	Poaceae
121	Cenchrus incertus	Poaceae
123	Centaurea diffusa	Asteraceae
124	Centaurea iberica	Asteraceae
125	Centaurea jacea	Asteraceae
126	Centaurea macrocephala	Asteraceae
128	Centaurea nigra	Asteraceae
130	Centaurea pratensis	NA
116	Caulerpa taxifolia	Caulerpaceae
122	Centaurea calcitrapa	Asteraceae
131	Centaurea solstitialis	Asteraceae
132	Centaurea stoebe	Asteraceae
129	Centaurea nigrescens	Asteraceae
133	Centaurea biebersteinii	NA
262	Glossostigma diandrum	Phrymaceae
134	Centaurea maculosa	Asteraceae
135	Centaurea sulphurea	Asteraceae
136	Centaurea virgata	Asteraceae
138	Centaurea squarrosa	NA
141	Hemizonia pungens	NA
142	Cereus hildmannianus	Cactaceae
143	Cereus uruguayanus	NA
147	Chromolaena odorata	Asteraceae
144	Chaenorhinum minus	Plantaginaceae
145	Chondrilla juncea	Asteraceae
148	Chrysopogon aciculatus	Poaceae
149	Cichorium intybus	Asteraceae
150	Cicuta maculata	Apiaceae
146	Chorispora tenella	Brassicaceae
151	Cirsium Mill.	NA
152	Cirsium arvense	Asteraceae
153	Cirsium japonicum	Asteraceae
154	Cirsium ochrocentrum	Asteraceae
155	Cirsium undulatum	Asteraceae
156	Cirsium vulgare	Asteraceae
157	Cirsium lanceolatum	NA
158	Citrus reticulata	Rutaceae
159	Clematis orientalis	Ranunculaceae
161	Clidemia hirta	Melastomataceae
162	Cnicus benedictus	Asteraceae
163	Coccinia grandis	Cucurbitaceae
164	Commelina benghalensis	Commelinaceae
165	Conium maculatum	Apiaceae
166	Convolvulus arvensis	Convolvulaceae
167	Coronopus squamatus	Brassicaceae
168	Cortaderia jubata	Poaceae
171	Crupina vulgaris	Asteraceae
169	Crassula helmsii	Crassulaceae
170	Crotalaria L.	Fabaceae
172	Cucumis melo	Cucurbitaceae
174	Cucumis myriocarpus	Cucurbitaceae
175	Cupaniopsis anacardioides	Sapindaceae
651	Toxicodendron vernix	Anacardiaceae
176	Cuscuta L.5,	NA
177	Cuscuta approximata	Convolvulaceae
650	Toxicodendron radicans	Anacardiaceae
178	Cuscuta japonica	Convolvulaceae
180	Cymbopogon refractus	Poaceae
179	Cuscuta reflexa	Convolvulaceae
181	Cynanchum louiseae	NA
182	Cynanchum nigrum	NA
183	Vincetoxicum nigrum	Apocynaceae
185	Cynanchum vincetoxicum	Apocynaceae
186	Vincetoxicum hirundinaria	Apocynaceae
187	Cynara cardunculus	Asteraceae
188	Cynodon Rich.	NA
189	Cynodon dactylon	Poaceae
190	Cynoglossum officinale	Boraginaceae
191	Cyperus esculentus	Cyperaceae
192	Cyperus rotundus	Cyperaceae
193	Cytisus scoparius	Fabaceae
196	Cytisus striatus	Fabaceae
197	Datura stramonium	Solanaceae
