Abutilon theophrasti
Acacia mearnsii
Acacia paradoxa
Acaena novae-zelandiae
Acaena novae-zelandica
Acaena pallida
Acer ginnala
Acer platanoides
Acer pseudoplatanus
Achnatherum brachychaetum
Stipa brachychaeta
Acroptilon repens
Centaurea repens
Aegilops cylindrica
Aegilops geniculata
Aegilops ovata
Aegilops triuncialis
Aeginetia L.
Aegopodium podagraria
Aeschynomene indica
Aeschynomene rudis
Aeschynomene virginica
Ageratina adenophora
Ageratina riparia
Agrostemma githago
Ailanthus altissima
Alectra Thunb.
Alhagi maurorum
Alhagi camelorum
Alhagi pseudalhagi
Alliaria petiolata
Allium L.
Allium neapolitanum
Nothoscordum inodorum
Allium paniculatum
Allium vineale
Allium vineale
Alopecurus myosuroides
Alternanthera Forssk.
Alternanthera philoxeroides
Alternanthera sessilis
Alyssum corsicum
Alyssum murale
Ambrosia artemisiifolia
Ambrosia artemisiifolia
Ambrosia elatior
Ambrosia grayi
Ambrosia tomentosa
Franseria discolor
Ambrosia trifida
Amorpha fruticosa
Ampelopsis brevipedunculata
Anchusa arvensis
Anchusa officinalis
Andropogon bicornis
Andropogon virginicus
Anoda cristata
Anredera cordifolia
Anthemis arvensis
Anthemis cotula
Anthriscus sylvestris
Araujia sericifera
Arctium minus
Arctotheca calendula
Ardisia elliptica
Artemisia absinthium
Arthraxon hispidus
Arundo donax
Asphodelus fistulosus
Avena sterilis
Azolla pinnata
Bassia scoparia
Kochia scoparia
Berberis L.2
Berberis thunbergii
Berberis vulgaris
Berteroa incana
Bocconia frutescens
Brachypodium sylvaticum
Brassica L.
Bromus racemosus
Bromus commutatus
Bromus secalinus
Bromus tectorum
Bryonia alba
Buddleja davidii
Butomus umbellatus
Cabomba caroliniana
Callitriche stagnalis
Calystegia sepium
Calystegia sepium
Convolvulus sepium
Cannabis sativa
Cardamine impatiens
Cardaria chalepensis
Cardaria chalapensis
Cardaria draba
Lepidium draba
Cardaria pubescens
Cardiospermum halicacabum
Carduus L.
Carduus acanthoides
Carduus crispus
Carduus nutans
Carduus pycnocephalus
Carduus tenuiflorus
Carex kobomugi
Carthamus lanatus
Carthamus lanatus
Carthamus baeticus
Carthamus leucocaulos
Carthamus oxyacanthus
Carthamus oxyacantha
Carum carvi
Casuarina Rumph.
Caulerpa taxifolia
Celastrus orbiculatus
Cenchrus echinatus
Cenchrus longispinus
Cenchrus spinifex
Cenchrus incertus
Centaurea calcitrapa
Centaurea diffusa
Centaurea iberica
Centaurea jacea
Centaurea macrocephala
Centaurea melitensis
Centaurea nigra
Centaurea nigrescens
Centaurea pratensis
Centaurea solstitialis
Centaurea stoebe
Centaurea biebersteinii
Centaurea maculosa
Centaurea sulphurea
Centaurea virgata
Centaurea virgata
Centaurea squarrosa
Centaurea virgata
Centromadia pungens
Hemizonia pungens
Cereus hildmannianus
Cereus uruguayanus
Chaenorhinum minus
Chondrilla juncea
Chorispora tenella
Chromolaena odorata
Chrysopogon aciculatus
Cichorium intybus
Cicuta maculata
Cirsium Mill.
Cirsium arvense
Cirsium japonicum
Cirsium ochrocentrum
Cirsium undulatum
Cirsium vulgare
Cirsium lanceolatum
Citrus reticulata
Clematis orientalis
Clematis vitalba
Clidemia hirta
Cnicus benedictus
Coccinia grandis
Commelina benghalensis
Conium maculatum
Convolvulus arvensis
Coronopus squamatus
Cortaderia jubata
Crassula helmsii
Crotalaria L.
Crupina vulgaris
Cucumis melo
Cucumis melo
Cucumis myriocarpus
Cupaniopsis anacardioides
Cuscuta L.5,
Cuscuta approximata
Cuscuta japonica
Cuscuta reflexa
Cymbopogon refractus
Cynanchum louiseae
Cynanchum nigrum
Vincetoxicum nigrum
Cynanchum rossicum
Cynanchum vincetoxicum
Vincetoxicum hirundinaria
Cynara cardunculus
Cynodon Rich.
Cynodon dactylon
Cynoglossum officinale
Cyperus esculentus
Cyperus rotundus
Cytisus scoparius
Cytisus scoparius
Cytisus scoparius
Cytisus striatus
Datura stramonium
Daucus carota
Dichrostachys cinerea
Dichrostachys nutans
Digitaria abyssinica
Digitaria scalarum
Digitaria velutina
Dioscorea alata
Dioscorea bulbifera
Dipsacus fullonum
Dipsacus laciniatus
Dipsacus sativus
Drymaria arenarioides
Echinochloa crus-galli
Echium plantagineum
Echium vulgare
Egeria densa
Elodea densa
Eichhornia Kunth
Eichhornia azurea
Eichhornia crassipes
Elaeagnus angustifolia
Elaeagnus umbellata
Elephantopus mollis
Elsholtzia ciliata
Elymus repens
Agropyron repens
Elytrigia repens
Emex australis
Emex spinosa
Epilobium hirsutum
Equisetum telmateia
Erodium cicutarium
Euonymus alatus
Euonymus alata
Euphorbia cyparissias
Euphorbia dentata
Euphorbia esula
Euphorbia esula
