searched_name	name	eol_object_id	db
1	Aaronsohnia factorovskyi	Aaronsohnia factorovskyi	NA	all
2	Aaronsohnia pubescens	Aaronsohnia pubescens	NA	all
3	Abrotanella caespitosa	Abrotanella caespitosa	NA	all
4	Abrotanella diemii	Abrotanella diemii	NA	all
5	Abrotanella emarginata	Abrotanella emarginata	NA	all
6	Abrotanella fertilis	Abrotanella fertilis	NA	all
7	Abrotanella inconspicua	Abrotanella inconspicua	NA	all
8	Abrotanella linearifolia	Abrotanella linearifolia	NA	all
9	Abrotanella linearis	Abrotanella linearis	NA	all
10	Abrotanella muscosa	Abrotanella muscosa	NA	all
11	Abrotanella nivigena	Abrotanella nivigena	NA	all
12	Abrotanella patearoa	Abrotanella patearoa	NA	all
13	Abrotanella purpurea	Abrotanella purpurea	NA	all
14	Abrotanella pusilla	Abrotanella pusilla	NA	all
15	Abrotanella rostrata	Abrotanella rostrata	NA	all
16	Abrotanella rosulata	Abrotanella rosulata	NA	all
17	Abrotanella spathulata	Abrotanella spathulata	NA	all
18	Abrotanella submarginata	Abrotanella submarginata	NA	all
19	Abrotanella trichoachaenia	Abrotanella trichoachaenia	NA	all
20	Abrotanella trilobata	Abrotanella trilobata	NA	all
21	Acamptopappus shockleyi	Acamptopappus shockleyi	NA	all
22	Acamptopappus sphaerocephalus	Acamptopappus sphaerocephalus	NA	all
23	Acanthocephalus amplexifolius	Acanthocephalus amplexifolius	NA	all
24	Acanthocephalus benthamianus	Acanthocephalus benthamianus	NA	all
25	Acanthocladium dockeri	Acanthocladium dockeri	NA	all
26	Acanthospermum australe	Acanthospermum australe	NA	all
27	Acanthospermum consobrinum	Acanthospermum consobrinum	NA	all
28	Acanthospermum glabratum	Acanthospermum glabratum	NA	all
29	Acanthospermum hispidum	Acanthospermum hispidum DC.	468702	all
30	Acanthospermum humile	Acanthospermum humile (Sw.) DC.	468704	all
31	Acanthospermum microcarpum	Acanthospermum microcarpum	NA	all
32	Acanthostyles buniifolius	Acanthostyles buniifolius	NA	all
33	Acanthostyles saucechicoensis	Acanthostyles saucechicoensis	NA	all
34	Achillea abrotanoides	Achillea abrotanoides	NA	all
35	Achillea absinthoides	Achillea absinthoides	NA	all
36	Achillea acuminata	Achillea acuminata	NA	all
37	Achillea aegyptiaca	Achillea aegyptiaca	NA	all
38	Achillea ageratifolia	Achillea ageratifolia	NA	all
39	Achillea ageratum	Achillea ageratum L.	481979	all
40	Achillea albinea	Achillea albinea	NA	all
41	Achillea aleppica	Achillea aleppica	NA	all
42	Achillea alexandri-regis	Achillea alexandri-regis	NA	all
43	Achillea alpina	Achillea alpina	NA	all
44	Achillea ambrosiaca	Achillea ambrosiaca	NA	all
45	Achillea apiculata	Achillea apiculata	NA	all
46	Achillea arabica	Achillea arabica Kotschy	2904287	all
