,searched_name,name,eol_object_id,in_gisd,in_i3n,in_isc,in_daisie,gisdinfo
1,Acicarpha spathulata,Acicarpha spathulata,NA,gisd,i3n,isc,daisie,Not in GISD
2,Ambrosia artemisiifolia,Ambrosia artemisiifolia L.,468175,gisd,NA,isc,daisie,Ambrosia artemisiifolia is a summer annual herbaceous plant that is native to temperate North America in the United States and Canada. Also commonly known as ragweed this forb establishes easily in human impacted and disturbed areas in high abundance. It is considered an invasive species in Europe, parts of Asia and Australia, although it is not an extremely competitively aggressive species and is mainly considered a noxious weed that interferes with other cultivated crops. The main impact of this plant is the copious amount of pollen produced from male flowers that are allergens to sensitive people, compounding health problems like rhinitis, oculorhinitis, asthma and causing skin irritations.;  (herb); Common Names: ambroisie à feuille d'armoise, ambroisie annuelle, ambroisie élevée, ambrosia aux feuilles d'armoise, ambrosia con foglie di atremisia, ambrosia de hojas de ajenjo, ambrozja bylicolistna, ambrozja bylicowata, annual ragweed, artemisia del pais, Aufrechte Ambrosie, Aufrechtes Traubenkraut, bastard wormwood, Beifußambrosie, Beifussblättriges Ambrosie, Beifussblättriges Traubenkraut, beiskambrosia, bitterweed, blackweed, bynke-ambrosie, carrot-weed, common ragweed, hay-fever weed, hog-weed, Hohes Traubenkraut, kietine ambrozija, low ragweed, malörstambrosia, marunatuoksukki, parlagfu, petite herbe à poux, pujulehine ambroosia, ragweed, roman bitterweed, Roman wormwood, römischer Wermut, Shinners ragweed, short ragweed, small ragweed, Stalin weed, stammerweed, stickweed, vadkender, vermellapu ambrozija, wild tansy; Synonyms: Ambrosia absynthifolia (Michx., 1803), Ambrosia artemisiifolia L. subsp. diversifolia (Piper, 1837), Ambrosia artemisiifolia L. var. jamaicensis (Griseb. 1861), Ambrosia artemisiifolia L. var. octocornis (Kuntze, 1891), Ambrosia artemisiifolia L. var. quadricornis (Kuntze, 1891), Ambrosia artemisiifolia var. artemisiifolia, Ambrosia artemisiifolia var. elatior (Descourt., 1821), Ambrosia artemisiifolia var. elatior f. villosa (Fernald & Griscom, 1935), Ambrosia artemisiifolia var. paniculata (Michx.), Ambrosia diversifolia (Piper), Ambrosia elata (Salisbury, 1796), Ambrosia elatior L., Ambrosia elatior L. var. heterophylla (Muhlenburg ex Willedenow, 1913), Ambrosia glandulosa (Scheele, 1849), Ambrosia heterophylla (Muhlenburg ex Willdenow, 1803), Ambrosia longistylus (Nuttall, 1840), Ambrosia media (Rydberg, 1910), Ambrosia monophylla (Rydberg, 1922), Ambrosia paniculata (Michaux, 1803, Ambrosia simplicifolia (Raeuschel, 1797), Iva monophylla (Walter, 1788)
3,Ambrosia artemisiifolia,Ambrosia artemisiifolia,NA,NA,i3n,NA,NA,Ambrosia artemisiifolia is a summer annual herbaceous plant that is native to temperate North America in the United States and Canada. Also commonly known as ragweed this forb establishes easily in human impacted and disturbed areas in high abundance. It is considered an invasive species in Europe, parts of Asia and Australia, although it is not an extremely competitively aggressive species and is mainly considered a noxious weed that interferes with other cultivated crops. The main impact of this plant is the copious amount of pollen produced from male flowers that are allergens to sensitive people, compounding health problems like rhinitis, oculorhinitis, asthma and causing skin irritations.;  (herb); Common Names: ambroisie à feuille d'armoise, ambroisie annuelle, ambroisie élevée, ambrosia aux feuilles d'armoise, ambrosia con foglie di atremisia, ambrosia de hojas de ajenjo, ambrozja bylicolistna, ambrozja bylicowata, annual ragweed, artemisia del pais, Aufrechte Ambrosie, Aufrechtes Traubenkraut, bastard wormwood, Beifußambrosie, Beifussblättriges Ambrosie, Beifussblättriges Traubenkraut, beiskambrosia, bitterweed, blackweed, bynke-ambrosie, carrot-weed, common ragweed, hay-fever weed, hog-weed, Hohes Traubenkraut, kietine ambrozija, low ragweed, malörstambrosia, marunatuoksukki, parlagfu, petite herbe à poux, pujulehine ambroosia, ragweed, roman bitterweed, Roman wormwood, römischer Wermut, Shinners ragweed, short ragweed, small ragweed, Stalin weed, stammerweed, stickweed, vadkender, vermellapu ambrozija, wild tansy; Synonyms: Ambrosia absynthifolia (Michx., 1803), Ambrosia artemisiifolia L. subsp. diversifolia (Piper, 1837), Ambrosia artemisiifolia L. var. jamaicensis (Griseb. 1861), Ambrosia artemisiifolia L. var. octocornis (Kuntze, 1891), Ambrosia artemisiifolia L. var. quadricornis (Kuntze, 1891), Ambrosia artemisiifolia var. artemisiifolia, Ambrosia artemisiifolia var. elatior (Descourt., 1821), Ambrosia artemisiifolia var. elatior f. villosa (Fernald & Griscom, 1935), Ambrosia artemisiifolia var. paniculata (Michx.), Ambrosia diversifolia (Piper), Ambrosia elata (Salisbury, 1796), Ambrosia elatior L., Ambrosia elatior L. var. heterophylla (Muhlenburg ex Willedenow, 1913), Ambrosia glandulosa (Scheele, 1849), Ambrosia heterophylla (Muhlenburg ex Willdenow, 1803), Ambrosia longistylus (Nuttall, 1840), Ambrosia media (Rydberg, 1910), Ambrosia monophylla (Rydberg, 1922), Ambrosia paniculata (Michaux, 1803, Ambrosia simplicifolia (Raeuschel, 1797), Iva monophylla (Walter, 1788)
4,Ambrosia trifida,Ambrosia trifida,NA,gisd,i3n,NA,NA,Not in GISD
5,Ambrosia trifida,Ambrosia trifida L.,468221,NA,NA,isc,daisie,Not in GISD
6,Barnadesia spinosa,Barnadesia spinosa,NA,gisd,i3n,isc,daisie,Not in GISD
7,Carthamus oxyacanthus,Carthamus oxyacanthus,NA,gisd,i3n,isc,daisie,Not in GISD
8,Carthamus palastinus,Carthamus palastinus,NA,gisd,i3n,isc,daisie,Not in GISD
9,Carthamus tinctorius,Carthamus tinctorius,NA,gisd,NA,isc,NA,Not in GISD
10,Carthamus tinctorius,Carthamus tinctorius L.,488433,NA,i3n,NA,daisie,Not in GISD
