searched_name	name	eol_object_id	db
1	Ambrosia artemisiifolia	Ambrosia artemisiifolia L.	468175	daisie
2	Centaurea solstitialis	Centaurea solstitialis subsp. adamii (Willd.) Nyman	31045127	daisie
3	Centaurea solstitialis	Centaurea solstitialis L.	467678	daisie
4	Cirsium arvense	Cirsium arvense (L.) Scop.	468373	daisie
5	Centaurea melitensis	Centaurea melitensis L.	467679	daisie
6	Centaurea diffusa	Centaurea diffusa Lam.	467784	daisie
7	Ambrosia trifida	Ambrosia trifida L.	468221	daisie
8	Helianthus annuus	Helianthus annuus L.	468106	daisie
9	Carthamus oxyacanthus	Carthamus oxyacanthus	NaN	daisie
10	Cnicothamnus lorentzii	Cnicothamnus lorentzii	NaN	daisie
11	Parthenium argentatum	Parthenium argentatum	NaN	daisie
12	Guizotia scabra	Guizotia scabra	NaN	daisie
13	Stevia rebaudiana	Stevia rebaudiana	NaN	daisie
14	Cynara cardunculus	Cynara cardunculus L.	467498	daisie
15	Cichorium intybus	Cichorium intybus L.	467862	daisie
16	Smallanthus sonchifolius	Smallanthus sonchifolius	NaN	daisie
17	Cichorium endivia	Cichorium endivia L.	488332	daisie
18	Carthamus palastinus	Carthamus palastinus	NaN	daisie
19	Acicarpha spathulata	Acicarpha spathulata	NaN	daisie
20	Scaevola aemula	Scaevola aemula	NaN	daisie
21	Nymphoides peltata	Nymphoides peltata (S.G. Gmel.) Kuntze	581364	daisie
22	Platycodon grandiflorus	Platycodon grandiflorus	NaN	daisie
23	Echinacea angustifolia	Echinacea angustifolia	NaN	daisie
24	Glebionis segetum	Glebionis segetum (L.) Fourr.	469138	daisie
25	Guizotia abyssinica	Guizotia abyssinica (L. f.) Cass.	467296	daisie
26	Helianthus tuberosus	Helianthus tuberosus L.	468029	daisie
27	Helianthus argophyllus	Helianthus argophyllus	NaN	daisie
28	Helianthus anomalus	Helianthus anomalus	NaN	daisie
29	Helianthus bolanderi	Helianthus bolanderi	NaN	daisie
30	Helianthus ciliaris	Helianthus ciliaris	NaN	daisie
31	Helianthus debilis	Helianthus debilis Nutt.	468125	daisie
32	Helianthus debilis	Helianthus debilis subsp. cucumerifolius (Torr. & A. Gray) Heiser	1277477	daisie
33	Helianthus deserticola	Helianthus deserticola	NaN	daisie
34	Helianthus exilis	Helianthus exilis	NaN	daisie
35	Helianthus paradoxus	Helianthus paradoxus	NaN	daisie
36	Helianthus petiolaris	Helianthus petiolaris Nutt.	467986	daisie
37	Helianthus praecox	Helianthus praecox	NaN	daisie
38	Helianthus winterii	Helianthus winterii	NaN	daisie
39	Iva annua	Iva annua	NaN	daisie
40	Dahlia hybrida	Dahlia hybrida	NaN	daisie
41	Leontodon taraxacoides	Leontodon taraxacoides	NaN	daisie
42	Carthamus tinctorius	Carthamus tinctorius L.	488433	daisie
43	Centaurea maculosa	Centaurea maculosa	NaN	daisie
44	Gerbera hybrid	Gerbera hybrid	NaN	daisie
45	Lactuca perennis	Lactuca perennis	NaN	daisie
46	Lactuca saligna	Lactuca saligna L.	468143	daisie
47	Lactuca sativa	Lactuca sativa L.	468144	daisie
48	Lactuca serriola	Lactuca serriola L.	468149	daisie
49	Lactuca virosa	Lactuca virosa L.	486948	daisie
50	Taraxacum kok-saghyz	Taraxacum kok-saghyz	NaN	daisie
51	Taraxacum officinale	Taraxacum officinale	NaN	daisie
52	Zinnia elegans	Zinnia elegans Jacq.	8724193	daisie
53	Barnadesia spinosa	Barnadesia spinosa	NaN	daisie
