searched_name	name	eol_object_id	db
1	Ambrosia artemisiifolia	Ambrosia artemisiifolia L.	468175	gisd
2	Centaurea solstitialis	Centaurea solstitialis L.	467678	gisd
3	Cirsium arvense	Cirsium arvense (L.) Scop.	468373	gisd
4	Centaurea melitensis	Centaurea melitensis L.	467679	gisd
5	Centaurea diffusa	Centaurea diffusa Lam.	467784	gisd
6	Ambrosia trifida	Ambrosia trifida	NaN	gisd
7	Helianthus annuus	Helianthus annuus	NaN	gisd
8	Carthamus oxyacanthus	Carthamus oxyacanthus	NaN	gisd
9	Cnicothamnus lorentzii	Cnicothamnus lorentzii	NaN	gisd
10	Parthenium argentatum	Parthenium argentatum	NaN	gisd
11	Guizotia scabra	Guizotia scabra	NaN	gisd
12	Stevia rebaudiana	Stevia rebaudiana	NaN	gisd
13	Cynara cardunculus	Cynara cardunculus L.	467498	gisd
14	Cichorium intybus	Cichorium intybus	NaN	gisd
15	Smallanthus sonchifolius	Smallanthus sonchifolius	NaN	gisd
16	Cichorium endivia	Cichorium endivia	NaN	gisd
17	Carthamus palastinus	Carthamus palastinus	NaN	gisd
18	Acicarpha spathulata	Acicarpha spathulata	NaN	gisd
19	Scaevola aemula	Scaevola aemula	NaN	gisd
20	Nymphoides peltata	Nymphoides peltata (S.G. Gmel.) Kuntze	581364	gisd
21	Platycodon grandiflorus	Platycodon grandiflorus	NaN	gisd
22	Echinacea angustifolia	Echinacea angustifolia	NaN	gisd
23	Glebionis segetum	Glebionis segetum	NaN	gisd
24	Guizotia abyssinica	Guizotia abyssinica	NaN	gisd
25	Helianthus tuberosus	Helianthus tuberosus	NaN	gisd
26	Helianthus argophyllus	Helianthus argophyllus	NaN	gisd
27	Helianthus anomalus	Helianthus anomalus	NaN	gisd
28	Helianthus bolanderi	Helianthus bolanderi	NaN	gisd
29	Helianthus ciliaris	Helianthus ciliaris	NaN	gisd
30	Helianthus debilis	Helianthus debilis	NaN	gisd
31	Helianthus deserticola	Helianthus deserticola	NaN	gisd
32	Helianthus exilis	Helianthus exilis	NaN	gisd
33	Helianthus paradoxus	Helianthus paradoxus	NaN	gisd
34	Helianthus petiolaris	Helianthus petiolaris	NaN	gisd
35	Helianthus praecox	Helianthus praecox	NaN	gisd
36	Helianthus winterii	Helianthus winterii	NaN	gisd
37	Iva annua	Iva annua	NaN	gisd
38	Dahlia hybrida	Dahlia hybrida	NaN	gisd
39	Leontodon taraxacoides	Leontodon taraxacoides	NaN	gisd
40	Carthamus tinctorius	Carthamus tinctorius	NaN	gisd
41	Centaurea maculosa	Centaurea maculosa	NaN	gisd
42	Gerbera hybrid	Gerbera hybrid	NaN	gisd
43	Lactuca perennis	Lactuca perennis	NaN	gisd
44	Lactuca saligna	Lactuca saligna	NaN	gisd
45	Lactuca sativa	Lactuca sativa	NaN	gisd
46	Lactuca serriola	Lactuca serriola	NaN	gisd
47	Lactuca virosa	Lactuca virosa	NaN	gisd
48	Taraxacum kok-saghyz	Taraxacum kok-saghyz	NaN	gisd
49	Taraxacum officinale	Taraxacum officinale	NaN	gisd
50	Zinnia elegans	Zinnia elegans	NaN	gisd
51	Barnadesia spinosa	Barnadesia spinosa	NaN	gisd
