searched_name	name	eol_object_id	db
1	Ambrosia artemisiifolia	Ambrosia artemisiifolia	NaN	gris
2	Centaurea solstitialis	Centaurea solstitialis	NaN	gris
3	Cirsium arvense	Cirsium arvense	NaN	gris
4	Centaurea melitensis	Centaurea melitensis	NaN	gris
5	Centaurea diffusa	Centaurea diffusa	NaN	gris
6	Ambrosia trifida	Ambrosia trifida	NaN	gris
7	Helianthus annuus	Helianthus annuus	NaN	gris
8	Carthamus oxyacanthus	Carthamus oxyacanthus	NaN	gris
9	Cnicothamnus lorentzii	Cnicothamnus lorentzii	NaN	gris
10	Parthenium argentatum	Parthenium argentatum	NaN	gris
11	Guizotia scabra	Guizotia scabra	NaN	gris
12	Stevia rebaudiana	Stevia rebaudiana	NaN	gris
13	Cynara cardunculus	Cynara cardunculus	NaN	gris
14	Cichorium intybus	Cichorium intybus	NaN	gris
15	Smallanthus sonchifolius	Smallanthus sonchifolius	NaN	gris
16	Cichorium endivia	Cichorium endivia	NaN	gris
17	Carthamus palastinus	Carthamus palastinus	NaN	gris
18	Acicarpha spathulata	Acicarpha spathulata	NaN	gris
19	Scaevola aemula	Scaevola aemula	NaN	gris
20	Nymphoides peltata	Nymphoides peltata	NaN	gris
21	Platycodon grandiflorus	Platycodon grandiflorus	NaN	gris
22	Echinacea angustifolia	Echinacea angustifolia	NaN	gris
23	Glebionis segetum	Glebionis segetum	NaN	gris
24	Guizotia abyssinica	Guizotia abyssinica	NaN	gris
25	Helianthus tuberosus	Helianthus tuberosus	NaN	gris
26	Helianthus argophyllus	Helianthus argophyllus	NaN	gris
27	Helianthus anomalus	Helianthus anomalus	NaN	gris
28	Helianthus bolanderi	Helianthus bolanderi	NaN	gris
29	Helianthus ciliaris	Helianthus ciliaris	NaN	gris
30	Helianthus debilis	Helianthus debilis	NaN	gris
31	Helianthus deserticola	Helianthus deserticola	NaN	gris
32	Helianthus exilis	Helianthus exilis	NaN	gris
33	Helianthus paradoxus	Helianthus paradoxus	NaN	gris
34	Helianthus petiolaris	Helianthus petiolaris	NaN	gris
35	Helianthus praecox	Helianthus praecox	NaN	gris
36	Helianthus winterii	Helianthus winterii	NaN	gris
37	Iva annua	Iva annua	NaN	gris
38	Dahlia hybrida	Dahlia hybrida	NaN	gris
39	Leontodon taraxacoides	Leontodon taraxacoides	NaN	gris
40	Carthamus tinctorius	Carthamus tinctorius	NaN	gris
41	Centaurea maculosa	Centaurea maculosa	NaN	gris
42	Gerbera hybrid	Gerbera hybrid	NaN	gris
43	Lactuca perennis	Lactuca perennis	NaN	gris
44	Lactuca saligna	Lactuca saligna	NaN	gris
45	Lactuca sativa	Lactuca sativa	NaN	gris
46	Lactuca serriola	Lactuca serriola	NaN	gris
47	Lactuca virosa	Lactuca virosa	NaN	gris
48	Taraxacum kok-saghyz	Taraxacum kok-saghyz	NaN	gris
49	Taraxacum officinale	Taraxacum officinale	NaN	gris
50	Zinnia elegans	Zinnia elegans	NaN	gris
51	Barnadesia spinosa	Barnadesia spinosa	NaN	gris
