###	ASSEMBLY_ID	ASMBL_TYPE	GENUS	EPITHET	COMM_NAME	INTER_SPEC	COMMENTS	CAP3_PARAM	N_SEQS/ESTs	N_UNIGENES	N_CONTIGS	ATH_HITS%	UCO_FRACT	DOWNLOAD_SEQs	DOWNLOAD_ASSEMBLY	DOWNLOAD_CONTIG_INFO	DOWNLOAD_CAP3_ALIGNMENTS	ATH_BLAST_INFO_BEST_HIT
0	CART_TINC.CSA1	mono spec	Carthamus	tinctorius	Safflower	---	---	-o 80 -p 90	40874	19395	7154	78.6	0.8	GB_ESTs_Feb_2007.sp.Cart_tinc.clean.fasta	GB_ESTs_Feb_2007.sp.Cart_tinc.clean.assembly	GB_ESTs_Feb_2007.sp.Cart_tinc.clean.cap3.80.90.Info	GB_ESTs_Feb_2007.sp.Cart_tinc.clean.cap3.80.90.Align.tar.gz	GB_ESTs_Feb_2007.sp.Cart_tinc.clean.assembly.vs.A_thaliana_ATGC_2006_08_24.BlastX.info1
1	CENT_MACU.CSA1	mono spec	Centaurea	maculosa	Spotted Knapweed	---	---	-o 80 -p 90	39957	20922	7122	79.3	0.8	GB_ESTs_Feb_2007.sp.Cent_macu.clean.fasta	GB_ESTs_Feb_2007.sp.Cent_macu.clean.assembly	GB_ESTs_Feb_2007.sp.Cent_macu.clean.cap3.80.90.Info	GB_ESTs_Feb_2007.sp.Cent_macu.clean.cap3.80.90.Align.tar.gz	GB_ESTs_Feb_2007.sp.Cent_macu.clean.assembly.vs.A_thaliana_ATGC_2006_08_24.BlastX.info1
2	CENT_SOLS.CSA1	mono spec	Centaurea	solstitialis	Yellow Starthistle	---	---	-o 80 -p 90	40406	22917	7158	77.6	0.79	GB_ESTs_Feb_2007.sp.Cent_sols.clean.fasta	GB_ESTs_Feb_2007.sp.Cent_sols.clean.assembly	GB_ESTs_Feb_2007.sp.Cent_sols.clean.cap3.80.90.Info	GB_ESTs_Feb_2007.sp.Cent_sols.clean.cap3.80.90.Align.tar.gz	GB_ESTs_Feb_2007.sp.Cent_sols.clean.assembly.vs.A_thaliana_ATGC_2006_08_24.BlastX.info1
3	CICH_ENDI.CSA1	mono spec	Cichorium	endivia	Endive	---	---	-o 80 -p 90	30170	18951	5295	76.7	0.7	GB_ESTs_Feb_2007.sp.Cich_endi.clean.fasta	GB_ESTs_Feb_2007.sp.Cich_endi.clean.assembly	GB_ESTs_Feb_2007.sp.Cich_endi.clean.cap3.80.90.Info	GB_ESTs_Feb_2007.sp.Cich_endi.clean.cap3.80.90.Align.tar.gz	GB_ESTs_Feb_2007.sp.Cich_endi.clean.assembly.vs.A_thaliana_ATGC_2006_08_24.BlastX.info1
4	CICH_INTY.CSA1	mono spec	Cichorium	intybus	Chicory	---	---	-o 80 -p 90	41704	22038	7575	75.8	0.77	GB_ESTs_Feb_2007.sp.Cich_inty.clean.fasta	GB_ESTs_Feb_2007.sp.Cich_inty.clean.assembly	GB_ESTs_Feb_2007.sp.Cich_inty.clean.cap3.80.90.Info	GB_ESTs_Feb_2007.sp.Cich_inty.clean.cap3.80.90.Align.tar.gz	GB_ESTs_Feb_2007.sp.Cich_inty.clean.assembly.vs.A_thaliana_ATGC_2006_08_24.BlastX.info1
5	GERB_HYBR.CSA1	mono spec	Gerbera	hybrid	Gerbera	---	cultivars: Terra Nero and Terra Regina	-o 80 -p 90	16848	8665	2523	64	0.33	GB_ESTs_Feb_2007.sp.Gerb_hybr.clean.fasta	GB_ESTs_Feb_2007.sp.Gerb_hybr.clean.assembly	GB_ESTs_Feb_2007.sp.Gerb_hybr.clean.cap3.80.90.Info	GB_ESTs_Feb_2007.sp.Gerb_hybr.clean.cap3.80.90.Align.tar.gz	GB_ESTs_Feb_2007.sp.Gerb_hybr.clean.assembly.vs.A_thaliana_ATGC_2006_08_24.BlastX.info1
6	HELI_ANNU.CSA1	mono spec	Helianthus	annuus	Common Sunflower	---	EST sequences from several different strains/cultivars	-o 80 -p 90	93428	31605	10796	57	0.66	GB_ESTs_Feb_2007.sp.Heli_annu.clean.fasta	GB_ESTs_Feb_2007.sp.Heli_annu.clean.assembly	GB_ESTs_Feb_2007.sp.Heli_annu.clean.cap3.80.90.Info	GB_ESTs_Feb_2007.sp.Heli_annu.clean.cap3.80.90.Align.tar.gz	GB_ESTs_Feb_2007.sp.Heli_annu.clean.assembly.vs.A_thaliana_ATGC_2006_08_24.BlastX.info1
7	HELI_ARGO.CSA1	mono spec	Helianthus	argophyllus	Silverleaf Sunflower	---	---	-o 80 -p 90	35702	17839	5592	72	0.6	GB_ESTs_Feb_2007.sp.Heli_argo.clean.fasta	GB_ESTs_Feb_2007.sp.Heli_argo.clean.assembly	GB_ESTs_Feb_2007.sp.Heli_argo.clean.cap3.80.90.Info	GB_ESTs_Feb_2007.sp.Heli_argo.clean.cap3.80.90.Align.tar.gz	GB_ESTs_Feb_2007.sp.Heli_argo.clean.assembly.vs.A_thaliana_ATGC_2006_08_24.BlastX.info1
8	HELI_CILI.CSA1	mono spec	Helianthus	ciliaris	Texas Blueweed	---	---	-o 80 -p 90	21589	14857	3979	80.5	0.68	GB_ESTs_Feb_2007.sp.Heli_cili.clean.fasta	GB_ESTs_Feb_2007.sp.Heli_cili.clean.assembly	GB_ESTs_Feb_2007.sp.Heli_cili.clean.cap3.80.90.Info	GB_ESTs_Feb_2007.sp.Heli_cili.clean.cap3.80.90.Align.tar.gz	GB_ESTs_Feb_2007.sp.Heli_cili.clean.assembly.vs.A_thaliana_ATGC_2006_08_24.BlastX.info1
9	HELI_EXIL.CSA1	mono spec	Helianthus	exilis	Serpentine Sunflower	---	---	-o 80 -p 90	33958	19784	6279	77.4	0.7	GB_ESTs_Feb_2007.sp.Heli_exil.clean.fasta	GB_ESTs_Feb_2007.sp.Heli_exil.clean.assembly	GB_ESTs_Feb_2007.sp.Heli_exil.clean.cap3.80.90.Info	GB_ESTs_Feb_2007.sp.Heli_exil.clean.cap3.80.90.Align.tar.gz	GB_ESTs_Feb_2007.sp.Heli_exil.clean.assembly.vs.A_thaliana_ATGC_2006_08_24.BlastX.info1
